question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation
408,single,ボイラーの構造に関する知識,水循環・水管ボイラー,水管の過熱を防ぐために重要なこととして、適切なものは次のうちどれか。,,,,,,適正な水循環と水質管理を保つ。,水位を常に下げる。,スケールを厚く付ける。,給水を止める。,吹出しを行わない。,1,水管の冷却には水循環が重要で、スケール付着も過熱の原因となる。
409,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,炉筒煙管ボイラーで煙管にすすが付着した場合の影響として、適切なものは次のうちどれか。,,,,,,伝熱が悪くなり、排ガス温度が高くなることがある。,伝熱が必ず良くなる。,水処理が不要になる。,安全弁が不要になる。,燃料中の水分がなくなる。,1,煙管のすす付着は熱効率低下につながる。
410,single,ボイラーの構造に関する知識,炉筒煙管・貫流・鋳鉄製,貫流ボイラーの始動停止に関する特徴として、適切なものは次のうちどれか。,,,,,,保有水量が少なく、比較的短時間で始動停止しやすい。,保有水量が非常に多く、常に始動に数日を要する。,燃料を使わない。,給水ポンプが不要である。,蒸気を発生しない。,1,貫流ボイラーは保有水量が少なく、応答が速い一方で制御と水質管理が重要である。
411,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,節炭器の主な役割として、適切なものは次のうちどれか。,,,,,,排ガスの余熱で給水を加熱する。,燃料中の硫黄を除去する。,蒸気中の水滴を増やす。,安全弁を作動不能にする。,水面計の代わりに水位を測る。,1,節炭器は排熱回収により給水を予熱し、効率を高める。
412,single,ボイラーの構造に関する知識,給水・節炭器・空気予熱器,空気予熱器の低温側で注意すべき腐食として、適切なものは次のうちどれか。,,,,,,酸露点以下で生じる低温腐食。,水面計の閉塞。,安全弁の弁座漏れ。,給水ポンプのキャビテーションだけ。,燃料タンク内の沈殿だけ。,1,排ガス中の硫黄酸化物と水分により、低温部で酸露点腐食が起こり得る。
413,single,ボイラーの構造に関する知識,附属品・計測器,ブルドン管圧力計に関する記述として、適切なものは次のうちどれか。,,,,,,曲がった管の弾性変形を利用して圧力を示す。,水の硬度を測る計器である。,燃料の発熱量を直接測る。,火炎の色を測る。,煙突高さを自動調整する。,1,ブルドン管圧力計は圧力による管の変形を指針の動きに変える。
414,single,ボイラーの構造に関する知識,附属品・計測器,水高計に関する記述として、適切なものは次のうちどれか。,,,,,,水位の高さを圧力差などから示す計器である。,燃料の発熱量を測る計器である。,排ガス中のばいじんを測る装置である。,安全弁の一種である。,給水を軟化する薬剤である。,1,水高計は水位測定に関係する装置で、水面計とあわせて出題されやすい。
415,single,ボイラーの構造に関する知識,附属品・計測器,温水ボイラーの逃がし弁に関する記述として、適切なものは次のうちどれか。,,,,,,圧力上昇時に水を逃がして過圧を防ぐ。,燃料を霧化する。,水の硬度を上げる。,煙突の通風を止める。,燃料中の硫黄を除去する。,1,逃がし弁は温水系統の過圧防止に用いられる。
416,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,圧力制御器の役割として、適切なものは次のうちどれか。,,,,,,蒸気圧力に応じて燃焼量や燃焼の入切を制御する。,給水の硬度を測定する。,燃料中の硫黄を除去する。,水面計のガラスを洗浄する。,煙突高さを測る。,1,圧力制御器は蒸気圧力を設定範囲に保つため燃焼を制御する。
417,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,水位制御器の役割として、適切なものは次のうちどれか。,,,,,,水位に応じて給水ポンプや給水弁を制御する。,燃料の発熱量を測る。,安全弁のばねを調整する。,排ガス中のSOxを除去する。,煙突を支える。,1,水位制御器は安全な水位を保つため給水を制御する。
418,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,燃焼量比例制御に関する記述として、適切なものは次のうちどれか。,,,,,,負荷に応じて燃料量と空気量を連続的又は段階的に調整する。,常に燃焼を全開だけにする。,水質だけを制御する。,安全弁を閉じる制御である。,煙突を伸縮させる制御である。,1,燃焼量制御では負荷に合わせて燃料と空気のバランスを調整する。
419,single,ボイラーの構造に関する知識,自動制御・燃焼安全装置,燃料遮断弁のフェールセーフとして望ましい状態は次のうちどれか。,,,,,,電源喪失や異常時に閉じる。,異常時に必ず開く。,火炎がなくても開き続ける。,水位が低くても開き続ける。,圧力が異常でも開き続ける。,1,燃料遮断弁は異常時に燃料供給を止める安全側の動作が求められる。
420,single,ボイラーの構造に関する知識,附属品・計測器,吹出し弁の設置目的として、適切なものは次のうちどれか。,,,,,,ボイラー水中のスラッジや濃縮水を排出する。,燃料を霧化する。,安全弁を作動不能にする。,煙突の高さを測る。,給水の温度だけを測る。,1,吹出し弁はボイラー水の濃度管理やスラッジ排出に用いられる。
421,single,ボイラーの取扱いに関する知識,点火・たき始め,点火前に炉内を換気する時間や回数を守る理由として、適切なものは次のうちどれか。,,,,,,未燃ガスを十分に排出するため。,水位を高く見せるため。,燃料の発熱量を増やすため。,安全弁の設定を変えるため。,給水を軟化するため。,1,点火前換気は未燃ガス爆発を防ぐ基本操作である。
422,single,ボイラーの取扱いに関する知識,点火・たき始め,手動点火で火種を近づける順序として、安全上適切な考え方は次のうちどれか。,,,,,,火種を先に置き、燃料を後から供給する。,燃料を先に多量に出してから火種を探す。,換気せずに燃料を出す。,火炎を確認せず燃料を増やす。,安全装置を外して点火する。,1,燃料を先に出すと未燃燃料がたまり危険である。
423,single,ボイラーの取扱いに関する知識,水位・低水位,水面計の吹出し後に確認すべきこととして、適切なものは次のうちどれか。,,,,,,水位が速やかに正常位置へ戻るか確認する。,水位を見ない。,燃料を最大にする。,安全弁を固定する。,吹出し弁を開けたままにする。,1,吹出し後の水位復帰で連絡管の閉塞や機能異常を確認する。
424,single,ボイラーの取扱いに関する知識,水位・低水位,水位が高すぎる運転で起こり得ることとして、適切なものは次のうちどれか。,,,,,,キャリオーバを起こしやすい。,低水位事故だけが起こる。,燃料が不要になる。,給水が完全に止まる。,安全弁が必ず不要になる。,1,高水位は蒸気側への水分持込み、すなわちキャリオーバの原因となる。
425,single,ボイラーの取扱いに関する知識,水位・低水位,給水弁の開度を急変させることが適切でない理由として、適切なものは次のうちどれか。,,,,,,水位や圧力の急変、熱応力を招くことがある。,燃料の発熱量が必ず下がる。,煙突高さが変わる。,安全弁の数が増える。,水処理が不要になる。,1,給水操作は水位、圧力、胴温度に影響するため慎重に行う。
426,single,ボイラーの取扱いに関する知識,吹出し・水管理,連続吹出しの管理で見る指標として、適切なものは次のうちどれか。,,,,,,ボイラー水の濃度や電気伝導率。,燃料販売店の距離。,水面計の製造年月だけ。,安全弁の塗色だけ。,煙突の外観色だけ。,1,連続吹出しは濃縮管理のために行い、電気伝導率などを参考にする。
427,single,ボイラーの取扱いに関する知識,吹出し・水管理,吹出しを過度に行った場合の問題として、適切なものは次のうちどれか。,,,,,,熱損失が増え、水位低下のおそれがある。,燃料消費が必ずゼロになる。,給水が不要になる。,安全弁が不要になる。,燃焼用空気が不要になる。,1,過度の吹出しは熱と水を失うため、適正量の管理が必要である。
428,single,ボイラーの取扱いに関する知識,水処理・スケール・腐食,軟化装置の目的として、適切なものは次のうちどれか。,,,,,,給水中の硬度成分を減らしスケールを防ぐ。,燃料の粘度を高める。,排ガス中の酸素を増やす。,安全弁の作動圧を下げる。,水面計を不要にする。,1,軟化装置はカルシウム、マグネシウムなど硬度成分を減らす。
429,single,ボイラーの取扱いに関する知識,水処理・スケール・腐食,給水加熱や脱気の効果として、適切なものは次のうちどれか。,,,,,,溶存酸素を減らし、熱効率や腐食防止に役立つ。,燃料の硫黄分を増やす。,水位計を不要にする。,安全弁を固定する。,スケールを厚くする。,1,給水加熱は熱効率向上のほか、脱気により腐食抑制にも寄与する。
430,single,ボイラーの取扱いに関する知識,水処理・スケール・腐食,ボイラー水のpHが低すぎる場合に起こりやすい障害として、適切なものは次のうちどれか。,,,,,,腐食。,燃料の完全燃焼。,水位の自動安定。,安全弁の増設。,排ガス熱損失の消失。,1,酸性側では腐食が進みやすくなるため、pH管理が重要である。
431,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,フォーミングに関する記述として、適切なものは次のうちどれか。,,,,,,ボイラー水が泡立つ現象である。,燃料油を加熱する現象である。,煙突内の通風を止める現象である。,安全弁が開く現象だけをいう。,給水を軟化する操作である。,1,フォーミングは泡立ちで、キャリオーバの原因になる。
432,single,ボイラーの取扱いに関する知識,キャリオーバ・スートブロー,スートブローを怠ると起こり得ることとして、適切なものは次のうちどれか。,,,,,,伝熱低下や排ガス温度上昇。,水位が必ず安定する。,燃料が不要になる。,給水の硬度が下がる。,安全弁が不要になる。,1,すす付着は伝熱を妨げ、熱損失を増加させる。
433,single,ボイラーの取扱いに関する知識,保存・停止・清掃,停止後にマンホールを開ける際の注意として、適切なものは次のうちどれか。,,,,,,圧力がなく温度が安全なことを確認する。,高圧のまま開ける。,水位を見ず燃焼中に開ける。,換気を一切しない。,安全弁を固定してから開ける。,1,内部開放作業では残圧、温度、換気などの安全確認が必要である。
434,single,ボイラーの取扱いに関する知識,保存・停止・清掃,湿り保存で注意すべきこととして、適切なものは次のうちどれか。,,,,,,水質を管理し、腐食防止に必要な薬品や脱酸素を確認する。,空気を多量に混入させる。,燃料油を満たす。,水を抜いて雨水を入れる。,内部を汚れたまま放置する。,1,湿り保存では水中の酸素や水質を管理して腐食を抑える。
435,single,ボイラーの取扱いに関する知識,燃焼安全装置,低燃焼から高燃焼へ移るとき注意すべきこととして、適切なものは次のうちどれか。,,,,,,空気量と燃料量のバランスを崩さない。,燃料だけを急増させる。,空気を完全に止める。,火炎を確認しない。,安全装置を無効化する。,1,燃焼量変更時は燃料と空気の比率を適切に保つ。
436,single,ボイラーの取扱いに関する知識,燃焼安全装置,燃料遮断弁の作動試験で確認することとして、適切なものは次のうちどれか。,,,,,,異常時に確実に閉止すること。,常に開きっぱなしになること。,水位を高く表示すること。,給水を軟化すること。,煙突を冷却すること。,1,燃料遮断弁は燃焼安全上、確実な閉止が重要である。
437,single,ボイラーの取扱いに関する知識,異常時対応,ボイラー水が著しく不足しているおそれがある場合の給水について、適切な考え方は次のうちどれか。,,,,,,過熱部への急給水は危険なため、手順に従い慎重に判断する。,必ず大量に急給水する。,燃焼を最大にしてから給水する。,水位確認をしない。,安全装置を外す。,1,著しい低水位では伝熱面が過熱している可能性があり、急給水は危険となることがある。
438,single,ボイラーの取扱いに関する知識,異常時対応,燃焼中に黒煙が増えた場合の対応として、適切なものは次のうちどれか。,,,,,,空気量、燃料圧、霧化状態などを確認する。,燃料をさらに増やすだけにする。,空気を完全に止める。,水位を見ない。,安全装置を無効にする。,1,黒煙は不完全燃焼のサインであり、空気不足や霧化不良を確認する。
439,single,ボイラーの取扱いに関する知識,日常点検,日常点検で安全弁について見る事項として、適切なものは次のうちどれか。,,,,,,漏れ、固着、封印、吹出し管の状態など。,燃料の購入価格だけ。,水処理薬剤の色だけ。,作業者の氏名だけ。,煙突の外壁色だけ。,1,安全弁は過圧防止装置であり、漏れや固着、吹出し管の状態を確認する。
440,single,ボイラーの取扱いに関する知識,日常点検,運転日誌に記録する事項として、適切なものは次のうちどれか。,,,,,,圧力、水位、燃焼状態、給水量、異常の有無など。,作業者の趣味だけ。,燃料販売店の広告だけ。,水面計のメーカーの株価だけ。,煙突の色の好みだけ。,1,運転記録は異常傾向の把握と安全管理に役立つ。
441,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料中の炭素が完全燃焼したとき主に生じるものとして、適切なものは次のうちどれか。,,,,,,二酸化炭素。,一酸化炭素だけ。,水素。,硫酸。,窒素酸化物だけ。,1,炭素が完全燃焼するとCO2になる。不完全燃焼ではCOが発生する。
442,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料中の水素が完全燃焼したとき主に生じるものとして、適切なものは次のうちどれか。,,,,,,水蒸気。,二酸化硫黄。,一酸化炭素。,灰分。,窒素。,1,水素の燃焼生成物は水であり、排ガス中では水蒸気として存在する。
443,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料の粘度が高すぎる場合の影響として、適切なものは次のうちどれか。,,,,,,噴霧不良を起こしやすい。,完全燃焼が必ず保証される。,空気が不要になる。,水位が安定する。,安全弁が不要になる。,1,粘度が高すぎる燃料油は微粒化しにくく、燃焼不良につながる。
444,single,燃料及び燃焼に関する知識,重油・低温腐食,重油燃焼でバナジウムなどの灰分が問題となる理由として、適切なものは次のうちどれか。,,,,,,高温腐食や灰付着の原因となることがある。,水位を正確に示すため。,燃料の発熱量を必ず高めるため。,安全弁を作動させるため。,給水を軟化するため。,1,重油中の灰分成分は付着や高温腐食の原因として扱われる。
445,single,燃料及び燃焼に関する知識,重油・低温腐食,燃料油タンクの水抜きが必要な理由として、適切なものは次のうちどれか。,,,,,,水分混入による燃焼不良や腐食を防ぐため。,燃料の硫黄分を増やすため。,空気比をゼロにするため。,安全弁を不要にするため。,水面計を洗うため。,1,タンク底部の水分はバーナ不調や腐食につながるため排出する。
446,single,燃料及び燃焼に関する知識,油バーナ,空気噴霧式バーナに関する記述として、適切なものは次のうちどれか。,,,,,,圧縮空気を用いて燃料油を霧化する。,蒸気を発生させない。,水面計で燃料を霧化する。,安全弁で燃料を霧化する。,燃料を固体のまま燃やす。,1,空気噴霧式は霧化媒体として圧縮空気を用いる。
447,single,燃料及び燃焼に関する知識,油バーナ,蒸気噴霧式バーナの特徴として、適切なものは次のうちどれか。,,,,,,比較的広い燃焼量範囲に対応しやすいが霧化蒸気を消費する。,蒸気を全く使わない。,空気を全く必要としない。,燃料を霧化できない。,水処理装置である。,1,蒸気噴霧式は霧化性能に利点があるが、蒸気消費がある。
448,single,燃料及び燃焼に関する知識,油バーナ,バーナのターンダウン比に関する記述として、適切なものは次のうちどれか。,,,,,,安定燃焼できる最大燃焼量と最小燃焼量の比である。,水位と圧力の比である。,燃料密度と水密度の比だけである。,安全弁口径と煙突高さの比である。,給水量と吹出し量の和である。,1,ターンダウン比は燃焼量調整範囲を示す。
449,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,ガス燃料の比重に関する安全上の注意として、適切なものは次のうちどれか。,,,,,,空気より重いか軽いかで滞留しやすい場所が異なる。,比重は漏えい時の危険に関係しない。,比重が大きいほど必ず無害である。,比重は水位だけを示す。,安全弁の設定圧だけを示す。,1,ガス漏えい時の滞留場所はガスの比重や換気条件に左右される。
450,single,燃料及び燃焼に関する知識,気体燃料・燃焼方式,ガス遮断弁の役割として、適切なものは次のうちどれか。,,,,,,異常時に燃料ガスの供給を止める。,給水を軟化する。,排ガス中のCO2を増やすだけ。,水面計の水位を示す。,安全弁を固定する。,1,ガス遮断弁は燃焼安全装置として漏えいや失火時の燃料供給を止める。
451,single,燃料及び燃焼に関する知識,通風・ファン,押込通風に関する記述として、適切なものは次のうちどれか。,,,,,,送風機で燃焼用空気を炉内へ押し込む方式である。,煙突だけで排ガスを引く方式である。,給水ポンプで通風する方式である。,安全弁で空気を送る方式である。,水面計で通風を測る方式である。,1,押込通風は送風機で燃焼用空気を供給する。
452,single,燃料及び燃焼に関する知識,通風・ファン,誘引通風に関する記述として、適切なものは次のうちどれか。,,,,,,誘引ファンで燃焼ガスを引き出す方式である。,給水ポンプで排ガスを押す方式である。,燃料ポンプで空気を送る方式である。,安全弁で通風を止める方式である。,水面計でガスを吸う方式である。,1,誘引通風は煙道側から燃焼ガスを吸引する方式である。
453,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,空気比が小さすぎる場合に起こりやすいこととして、適切なものは次のうちどれか。,,,,,,不完全燃焼、CO、黒煙の増加。,排ガス量が無限に増える。,燃料が不要になる。,安全弁が不要になる。,水位が必ず安定する。,1,空気不足は不完全燃焼の代表的な原因である。
454,single,燃料及び燃焼に関する知識,空気比・NOx・熱損失,排ガス温度を下げすぎると問題になることとして、適切なものは次のうちどれか。,,,,,,低温腐食のおそれがある。,燃料が完全に不要になる。,水位が必ず上がる。,安全弁が不要になる。,空気比が必ずゼロになる。,1,排熱回収は有効だが、酸露点以下になると低温腐食が問題となる。
455,single,燃料及び燃焼に関する知識,燃焼計算・燃焼管理,燃焼ガス中のO2が低くCOが高い場合に疑うこととして、適切なものは次のうちどれか。,,,,,,空気不足による不完全燃焼。,過剰空気が多すぎる完全燃焼。,水処理の過剰。,安全弁の正常作動。,検査証の期限切れだけ。,1,O2不足とCO増加は空気不足や混合不良を示す。
456,single,燃料及び燃焼に関する知識,燃焼計算・燃焼管理,排ガス分析計の値を見るときの注意として、適切なものは次のうちどれか。,,,,,,測定位置や漏れ込み空気の影響を考慮する。,値は常に誤差ゼロである。,水位確認の代わりになる。,安全弁の設定を自動変更する。,燃料の購入価格を決めるだけである。,1,排ガス分析では測定条件や空気漏れによる値の変化に注意する。
457,single,燃料及び燃焼に関する知識,燃焼計算・燃焼管理,燃焼における三つのTとして扱われる要素に近いものは次のうちどれか。,,,,,,温度、時間、混合。,水位、圧力、検査証。,燃料、給水、吹出し。,安全弁、圧力計、水面計。,煙突、床、照明。,1,完全燃焼には温度、燃焼時間、燃料と空気の混合が重要である。
458,single,燃料及び燃焼に関する知識,燃焼計算・燃焼管理,燃焼負荷を急に上げるとき注意すべきこととして、適切なものは次のうちどれか。,,,,,,空気量が追従せず不完全燃焼にならないようにする。,空気を必ず止める。,燃料だけを最大にする。,火炎を見ない。,排ガスを測らない。,1,燃焼負荷変化時は燃料と空気の追従、火炎安定を確認する。
459,single,燃料及び燃焼に関する知識,燃焼計算・燃焼管理,燃焼効率を高める基本として、適切でないものは次のうちどれか。,,,,,,適正空気比を保つ。,伝熱面を清浄に保つ。,排熱を有効利用する。,燃料を適切に霧化する。,空気量を常に極端に多くする。,5,過大な空気量は排ガス熱損失を増やす。
460,single,燃料及び燃焼に関する知識,燃料性質・発熱量,燃料の発熱量が同じでも実際の効率が変わる理由として、適切なものは次のうちどれか。,,,,,,燃焼状態や排ガス損失、伝熱状態が異なるため。,発熱量だけで効率は必ず100%になるため。,水位と無関係で常に同じになるため。,安全弁の色だけで決まるため。,検査証の紙質だけで決まるため。,1,ボイラー効率は燃料性状だけでなく燃焼管理や伝熱状態に左右される。
461,single,関係法令,伝熱面積・ボイラー種別,伝熱面積の算定で『水管』が出た場合に注意すべきこととして、適切なものは次のうちどれか。,,,,,,管のどの面を伝熱面として扱うかを規定に従って読む。,必ず管の内外両面を二重に加える。,燃料の種類だけで算定する。,作業者数で算定する。,水面計の数で算定する。,1,伝熱面積は部位ごとの算定方法が問われる。
462,single,関係法令,伝熱面積・ボイラー種別,温水ボイラーに関する法令問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,圧力、温度、伝熱面積などの条件を確認する。,温水なので法令は常に無関係である。,燃料が同じならすべて同じ扱いである。,水面計の有無だけで決める。,煙突高さだけで決める。,1,温水ボイラーも条件によって法令上の区分が変わる。
463,single,関係法令,設置・ボイラー室,燃料タンクをボイラー室内に置く場合の注意として、適切なものは次のうちどれか。,,,,,,火災防止や漏えい防止、配置の条件を確認する。,炉前にこぼしておく。,出入口をふさぐ。,換気をなくす。,安全弁につなぐ。,1,燃料の保管は火災防止と避難・操作空間確保の観点で問われる。
464,single,関係法令,設置・ボイラー室,ボイラー室の照明に関する問題で重視される考え方として、適切なものは次のうちどれか。,,,,,,計器や水位を確認し安全に操作できる明るさを確保する。,常に暗くして運転する。,水面計を見えなくする。,圧力計を隠す。,出入口をふさぐ。,1,取扱いに必要な計器や水位を確認できる作業環境が必要である。
465,single,関係法令,検査・検査証,検査証の有効期間が満了する前に必要な対応として、適切なものは次のうちどれか。,,,,,,性能検査を受けるなど継続使用の手続を確認する。,満了後も無条件に使用し続ける。,燃料を変えれば検査不要である。,水面計を増やせば検査不要である。,安全弁を閉じれば検査不要である。,1,継続使用には性能検査と検査証の有効期間管理が重要である。
466,single,関係法令,検査・検査証,落成検査を受ける前に使用してよいかを問う問題での基本は次のうちどれか。,,,,,,原則として必要な検査に合格してから使用する。,検査前でも常に自由に使用できる。,燃料が軽油なら検査不要である。,水位が見えれば検査不要である。,安全弁を外せば検査不要である。,1,設置後の使用開始には法令上必要な検査を確認する。
467,single,関係法令,検査・検査証,変更検査と性能検査の違いとして、適切なものは次のうちどれか。,,,,,,変更検査は主要部分変更時、性能検査は継続使用時に関連する。,どちらも燃料購入時の検査である。,どちらも水質試験だけである。,どちらも毎日の点火前点検である。,違いは存在しない。,1,検査名と実施場面を整理することが法令問題の基本である。
468,single,関係法令,変更・休止・廃止,ボイラーの移設に関する問題で注意すべきこととして、適切なものは次のうちどれか。,,,,,,設置場所変更に伴う届出や検査を確認する。,移設なら手続は常に不要である。,燃料を抜けば全て不要である。,水面計を外せば全て不要である。,煙突だけ移せばよい。,1,設置場所の変更は届出や検査証の扱いに関係する。
469,single,関係法令,変更・休止・廃止,ボイラーの構造部分を溶接修理する場合の注意として、適切なものは次のうちどれか。,,,,,,修理内容により届出や検査の要否を確認する。,どんな修理も自由に行える。,安全弁を外せば手続不要である。,燃料を変えれば手続不要である。,水面計を閉じれば手続不要である。,1,主要部分の修理や変更は法令上の手続対象となることがある。
470,single,関係法令,作業主任者・取扱資格,作業主任者が水位を監視する理由として、適切なものは次のうちどれか。,,,,,,低水位や高水位による事故を防ぐため。,燃料価格を下げるため。,検査証を不要にするため。,煙突高さを変えるため。,ボイラー室を暗くするため。,1,水位監視は低水位過熱やキャリオーバ防止に直結する。
471,single,関係法令,作業主任者・取扱資格,作業主任者が燃焼状態を監視する理由として、適切なものは次のうちどれか。,,,,,,不完全燃焼や異常燃焼を防ぐため。,給水の硬度を必ず下げるため。,検査証の有効期間を延ばすためだけ。,安全弁を不要にするため。,煙突を短くするため。,1,燃焼監視は安全、効率、大気汚染防止に関係する。
472,single,関係法令,附属品・安全弁・圧力計,安全弁の吹出し管で注意すべきこととして、適切なものは次のうちどれか。,,,,,,蒸気や熱水を安全な場所へ導く。,蒸気を作業者へ向けて放出する。,管をふさいで圧力を保つ。,水面計へ接続して水位を隠す。,燃料タンクへ接続して加圧する。,1,吹出し管は安全弁作動時の蒸気を安全に処理するために設ける。
473,single,関係法令,附属品・安全弁・圧力計,圧力計の指針がゼロに戻らない場合の対応として、適切なものは次のうちどれか。,,,,,,計器異常として点検・交換を検討する。,正常なので必ず放置する。,指針を接着剤で固定する。,水位確認の代わりにする。,燃料を増やす。,1,圧力計の指示異常は過圧判断を誤る原因となる。
474,single,関係法令,附属品・安全弁・圧力計,水面計のガラス管破損時の対応として、適切なものは次のうちどれか。,,,,,,コックを閉じて噴出を止め、安全を確保する。,近づいて素手で押さえる。,燃焼量を最大にする。,給水を止めて放置する。,安全弁を固定する。,1,水面計破損時は蒸気や熱水の噴出を止め、安全を確保する。
475,single,関係法令,定期自主検査・変更届,定期自主検査で煙道を確認する理由として、適切なものは次のうちどれか。,,,,,,すす詰まり、腐食、漏れなどを把握するため。,作業者の年齢を確認するため。,燃料販売店を確認するため。,検査証の紙色を確認するため。,水面計の照明色を確認するため。,1,煙道の異常は燃焼、通風、腐食、安全に関係する。
476,single,関係法令,定期自主検査・変更届,定期自主検査で給水装置を点検する理由として、適切なものは次のうちどれか。,,,,,,給水不能による低水位事故を防ぐため。,燃料の価格を下げるため。,安全弁を不要にするため。,検査証を自動発行するため。,煙突を短くするため。,1,給水装置は水位維持の要であり、異常は重大事故につながる。
477,single,関係法令,法令総合,法令問題で『労働基準監督署長』と『都道府県労働局長』を読む際の注意として、適切なものは次のうちどれか。,,,,,,提出先や権限を混同しない。,どちらも燃料販売店である。,どちらも作業主任者である。,どちらも水面計メーカーである。,どちらも安全弁の形式である。,1,法令では届出先、申請先、検査機関の違いが正誤になる。
478,single,関係法令,法令総合,法令問題で単位を読み違えると起こることとして、適切なものは次のうちどれか。,,,,,,伝熱面積や圧力条件の判断を誤る。,必ず正解に近づく。,燃料性状が変わる。,水位が自動で上がる。,安全弁が不要になる。,1,m2、MPa、kWなどの単位は区分判定に直結する。
479,single,関係法令,法令総合,『除く』という語がある法令問題の基本対応として、適切なものは次のうちどれか。,,,,,,対象外になるものを先に確認する。,除外条件を無視する。,常に全てを対象にする。,選択肢1だけを選ぶ。,問題文を読まない。,1,除外条件は正誤判断に大きく影響するため、先に対象範囲を確定する。
